Company Name,Category,Services,Phone,Email,Website,Location,Notes
Your Ride Inc.,NEMT,Wheelchair & stretcher transport,(508) 459-3272,,yourrideinc.com,"Worcester, MA",ADA compliant vehicles; local and long distance NEMT
Prime Medical Transport,NEMT,Wheelchair stretcher & ambulatory,(508) 258-3787,,primemedtransport.com,"Cape Cod / Barnstable County, MA",Serves Cape Cod towns; private-pay and insurance
Bethel Transit (Bethel Group),NEMT,Wheelchair van & medical transport,,,betheltransit.com,"Worcester, MA","67 Millbrook St Ste 420, Worcester 01606; 24/7 booking"
Elite Care Agency Inc.,NEMT,Wheelchair & paratransit (largest MA NEMT provider),,,yourelitecare.com,"Massachusetts (statewide)",24/7 call center; largest volume NEMT provider in MA
HSB Transportation,NEMT,Non-emergency medical transport,,,hsbtransportation.com,"Raynham, MA",Serves MA and New England areas
Boston Chair Car,NEMT,Wheelchair accessible vehicle (WAV) transport,"617-472-1118 / 888-353-2111",info@bostonchaircar.com,bostonchaircar.com,"Metro Boston, MA",Reservation center open 7am-11pm 365 days/year
JK Quality Transportation,NEMT,Medical transportation,(774) 242-3973,,,"Worcester, MA",Found via Yelp
Gentle Medical Transport Services,NEMT,Senior & disability NEMT,,,gentlemedicaltransportservices.com,"Boston / Brockton / Hingham / Hull / New Bedford / Sharon, MA",Serves all towns in MA
MedStar MA,NEMT,Wheelchair van & specialty bus,,,medstarma.com,"Central Massachusetts",Non-emergency patient transport
Care Remedy Inc.,NEMT,Wheelchair transport,,,careremedy.com,"Reading / Woburn / Burlington / Winchester / Lexington, MA",Serves north of Boston suburbs
JFK Transportation,NEMT,Wheelchair transport & taxi,,,,"Lowell, MA",10 taxis and 30 vans; 7 days a week
AA Transportation Co. Inc.,School Transport,School bus for 30+ districts; also charter,(508) 845-7211,christon@aatransportation.com,aatransportation.com,"Shrewsbury, MA","605 Hartford Tpke, Shrewsbury 01545; Central MA"
Salter Transportation Inc.,School Transport,Regular & special needs school bus,(978) 462-6433,,saltertrans.com,"Newbury, MA","196 Scotland Rd, Newbury 01951; 50+ years experience"
NRT Bus (North Reading Transportation),School Transport,Home-to-school bus; 70+ communities,(978) 664-1277,,nrtbus.com,"Eastern & Central MA / Southern NH",Also provides charter services
Van Pool Transportation,School Transport,Special needs student transport,413-599-1616,,vanpoolma.com,"Wilbraham / Barre / Hudson / Fitchburg / Wrentham / Duxbury, MA",5000+ students daily across 100+ school districts; nearly 50 years
Be Driven,School Transport / Shuttle,Student transport; private/semi-private/special needs,"1-800-233-7483 (1-800-BeDriven)",,bedriven.com,"Revere, MA","655 North Shore Rd, Revere 02151; also airport shuttle"
Local Motion of Boston,School Transport / Charter / Events,School bus; charter bus; shuttle; weddings,(781) 535-6344,,localmotionofboston.com,"Braintree, MA","66B Rocsam Park Rd; 25+ years; K through university"
Roman Limousine,Event Shuttle / Limo / Charter,"Limo; charter bus; wedding shuttle; corporate","(857) 928-5105 / (800) 287-8414",info@romanlimousine.com,romanlimousine.com,"Woburn / Somerville, MA","165 New Boston St Ste 282, Woburn 01801; 24/7"
Patriot Limousine,Event Shuttle / Limo,Limo; corporate; events; airport,"(855) 914-5466 / (508) 851-0756",,patriotslimousine.com,"Foxborough, MA","40 Mechanic St #102a, Foxborough 02035"
The Boston Party Bus,Event Shuttle / Party Bus,Party bus; charter bus; events,(617) 315-6305,,thebostonpartybus.com,"Boston, MA",Bachelorette; sporting events; special events
Boston Common Coach,Charter / Shuttle / School Athletics,Charter bus; shuttle; school athletics; cruise transfers,(617) 773-2784,,bostoncommoncoach.com,"Metro Boston, MA","Since 1994; 14-56 passenger vehicles"
Above All Transportation,Charter / Shuttle / Events,Chauffeured transport; bus/shuttle; weddings; corporate,,,abovealltrans.com,"Canton, MA",27-41 passenger shuttle buses; also worldwide service
Price 4 Limo (MA),Charter / Shuttle / Party Bus,Charter bus; party bus; minibus rentals,(866) 265-5479,,price4limo.com/locations/massachusetts/,"Massachusetts (statewide)",13000+ vehicles nationwide; 24/7 support
PartyBus.com (MA),Charter / Shuttle / Party Bus,Limos; party buses; charter buses; school buses,(877) 563-2133,,partybus.com,"Massachusetts (statewide)",USA's largest bus rental service
GOGO Charters (Boston),Charter / Events,Charter bus rentals; wedding transport,,,gogocharters.com,"Boston / Massachusetts",Hundreds of buses available
Ally Charter Bus (Boston),Charter / Events,Charter bus; minibus; events,,,allybus.com,"Boston, MA",Business trips; tours; weddings; tailgates
